Codigo,Entidad,Tipo,Nombre Software,Versión,URL,Estado,Años conformidad,Fec.Solicitud,Nota.Solicitud,Fec.Conformidad,Informe Tec.,SICOES,Detalle
100,Registro Único para la Administración Tributaria Municipal,Renovación,Oracle Database Enterprise Edition - Named User Multiserver,11.2.0.3,http://www.oracle.com/technetwork/es/database/enterprise-edition/downloads/index.html,INFORME EMITIDO,1,20/11/2017,RUAT N°6465/2017,22/11/2017,ADSIB-UIS/IT/0052/2017,,
101,Servicio Estatal de Autonomías,Renovación,Kaspersky Endpoint Security for Business – Select,10.3.407,https://www.kaspersky.com/small-to-medium-business-security/endpoint-select,INFORME EMITIDO,1,20/11/2017,SEA-DE-CE-UIA N°383/2017,22/11/2017,ADSIB-UIS/IT/0053/2017,,
102,Autoridad Jurisdiccional Administrativa Minera,Renovación,KASPERSKY ENDPOINT SECURITY FOR BUSINESS ADVANCED,2018,https://www.kaspersky.com/,ELABORANDO INFORME,1,05/02/2018,AJAM/DESP/97-2018,06/02/2018,ADSIB-UIS/IT/0016/2018,,
103,Autoridad Jurisdiccional Administrativa Minera,Adquisición,Oracle Database Standard Edition Two,12C,https://www.oracle.com/index.html,EN ESPERA DE NOTA,1,,,15/11/2017,,,
104,Servicio Nacional de Sanidad Agropecuaria e Inocuidad Alimentaria,Adquisición,GOTOMEETING DE CITRIX,8.8.0 Buid 7297,https://www.gotomeeting.com/es-es,INFORME EMITIDO,1,23/11/2017,SENASAG/DN/N°1579/2017,30/12/2022,ADSIB-UID/IT/0122/2022,,
105,Empresa Estatal de Transporte por Cable “Mi Teleférico”,Renovación,"Licencias de Anti-Spyware, Premium Content Filtering/ App Control",14.6,https://www.sonicwall.com/es-mx/home,EN ESPERA DE NOTA,1,,,15/11/2017,,,
106,Dirección General de Aeronáutica Civil,Adquisición,AQD SMS,1.0,https://www.controlsdata.com/civil-aero/safety-management-system-solution,ELABORANDO INFORME,7,26/03/2018,DGAC/1169/2018 - DAF/0682/2018,04/04/2018,ADSIB-UIS/IT/0040/2018,,
107,Autoridad Jurisdiccional Administrativa Minera,Renovación,ARCGIS,10,www.esri.com,ELABORANDO INFORME,1,20/11/2017,AJAM DCCM-N°244/2017,21/11/2017,ADSIB-UIS/IT/0050/2017,,
108,Fondo Nacional de Desarrollo Integral (FONADIN),Renovación,KASPERSKY ENDPOINT SECURITY 10 PARA WINDOWS,"10.2.6.3733 (mr3, mr4)",https://www.kaspersky.com/,ELABORANDO INFORME,1,30/11/2017,FONADIN/DGE/E/225/2017,04/12/2017,ADSIB-UIS/IT/0066/2017,,
109,Agencia Estatal de Vivienda,Renovación,Licencia Antivirus,Actual,https://www.eset.com/bo/empresas/security-solutions/protection-advanced/,ELABORANDO INFORME,2,05/12/2017,AEV/DGEN/N 1986/2017,07/12/2017,ADSIB-UIS/IT/0071/2017,,
110,Agencia Estatal de Vivienda,Renovación,Licencias para Firewall DELL SONICWALL TZ105 y SONICWALL TZ400 Departamentales,Licencia,http://www.dell.com/bo/empresas/p/sonicwall-tz-series/pd,ELABORANDO INFORME,1,01/12/2017,AEV/DGE/1960,04/12/2017,ADSIB-UIS/IT/0065/2017,,
112,Ministerio de Minería y Metalurgia,Renovación,Licencia anual de firewall SonicWALL NSA 3600,SonicOS Enhanced 6.2.7.1,https://www.sonicwall.com/es-mx/home,ELABORANDO INFORME,1,22/11/2017,MMM/559-DGAA 202/2017,28/11/2017,ADSIB-UIS/IT/0060/2017,,
113,Registro Único para la Administración Tributaria Municipal,Renovación,IBM Security Guardium Advanced Activity Monitor for Databases Processor Value Unit,9,http://www-03.ibm.com/software/products/es/ibm-guardium-data-protection-for-databases,INFORME EMITIDO,1,27/11/2017,RUAT N 6516/2017,29/11/2017,ADSIB-UIS/IT/0063/2017,,
114,Empresa de Luz y Fuerza Eléctrica Cochabamba,Renovación,TREND ENTERPRISE SECURITY SUITE,XG 1315,http://la.trendmicro.com/,INFORME EMITIDO,1,20/12/2017,ADSIB/DE/0901/2017,27/12/2017,ADSIB-UIS/IT/0095/2017,,
115,Empresa de Luz y Fuerza Eléctrica Cochabamba,Soporte,CITRIX XENAPP ADVANCED EDITION,7.9,www.citrix.com,INFORME EMITIDO,1,20/12/2017,ADSIB/DE/0901/2017,27/12/2017,ADSIB-UIS/IT/0095/2017,,
117,Gobernacion de Cochabamba,Renovación,Kaspersky Endpoint Security for Business,10.3.407,https://latam.kaspersky.com/small-to-medium-business-security/endpoint-select,INFORME EMITIDO,1,,,15/12/2017,ADSIB-UIS/IT/0076/2017,,
118,Gobernacion de Cochabamba,Renovación,Kaspersky Security for Virtualization,4.0.0.84,https://www.kaspersky.com/small-to-medium-business-security/virtualization,INFORME EMITIDO,3,13/12/2017,GC/DESP/2162/2017,15/12/2017,ADSIB-UIS/IT/0076/2017,,
119,Registro Único para la Administración Tributaria Municipal,Renovación,SAP BusinessObjects BI Edge Edition CS,4.1,https://support.sap.com/en/index.html,ELABORANDO INFORME,1,19/12/2017,RUAT N 7239/2017,22/12/2017,ADSIB-UID/IT/0047/2017,,
120,Servicio de Impuestos Nacionales,Adquisición,SPSS MODELER,18,https://www.ibm.com/support/knowledgecenter/es/SS3RA7_18.1.1/modeler.kc.doc/clementine/knowledge_center/product_landing.html,ELABORANDO INFORME,7,05/02/2018,DGE-0063-EMAGUA/2018,09/02/2018,ADSIB-UIS/IT/0019/2018,,
121,Servicio de Impuestos Nacionales,Adquisición,InfoSphere QualityStage,11.7,http://www-03.ibm.com/software/products/es/ibminfoqual,ELABORANDO INFORME,2,12/01/2018,SIN/PE/GG/GTIC/DGI/NOT/0008/2018,17/01/2018,ADSIB-UIS/IT/0004/2018,,
122,Banco Central de Bolivia,Renovación,Matlab,R2017a,www.mathworks.com,ELABORANDO INFORME,2,07/02/2018,BCB-APEC-SIE-CE-2018-CE-2018-12,20/02/2018,ADSIB-UIS/IT/0020/2018,,
123,Ministerio de Minería y Metalurgia,Renovación,Kaspersky Endpoint Security for Business SELECT,10.2,https://www.kasperskyantivirus.es/kaspersky-seguridad-particulares-familias-hogar/kaspersky-antivirus/,ELABORANDO INFORME,1,26/01/2018,MMM/49-DGAA 11/2018,30/01/2018,ADSIB-UIS/IT/0013/2018,,
125,EMAGUA,Renovación,Licencia de antivirus para 150 puntos,N/E,https://www.kaspersky.com/small-to-medium-business-security/total,EN ESPERA DE NOTA,2,,,01/02/2018,,,
126,Servicio Nacional del Sistema de Reparto,Renovación,VeriFinger 10.0 Extended SDK,6-10,neurotechnology.com,INFORME EMITIDO,2,06/03/2018,SENASIR UTI N 0091/2018,28/03/2018,ADSIB-UGS/IT/0057/2018,No se encuentran registros,
127,Fondo de Desarrollo del Sistema Financiero y Apoyo al Sector Productivo,Renovación,Antivirus Eset Nod32,6.5,https://www.eset.com,INFORME EMITIDO,1,19/02/2018,FSF-DAA-NE-571/2018,20/02/2018,ADSIB-UGS/IT/0020/2018,no se encontraron registros,
129,Unidad de Investigaciones Financieras,Renovación,McAfee Complete data Protection Advanced DLP+Cifrado,v9.3.400,https://www.mcafee.com/es/products/complete-data-protection-advanced.aspx,INFORME EMITIDO,3,23/02/2018,UIF/DAES/UTSP/32/2018,26/02/2018,ADSIB-UGS/IT/0026/2018,18-0346-00-831196-0-E,
130,Unidad de Investigaciones Financieras,Renovación,McAfee Email Security Solutions End of Life,v7.6 3206.103,https://www.mcafee.com/us/products/email-security-end-of-life.aspx,INFORME EMITIDO,3,23/02/2018,UIF/DAES/UTSP/31/2018,26/02/2018,ADSIB-UGS/IT/0025/2018,15-0346-00-584596-0-E,
131,MINISTERIO DE HIDROCARBUROS,Renovación,ANTIVIRUS KASPERSKY,ADVANCED,https://latam.kaspersky.com/small-to-medium-business-security/downloads,INFORME EMITIDO,1,15/02/2018,MH-00711-DESP-0131,16/02/2018,ADSIB-UGS/IT/0017/2018,18-0078-00-866764-0-E,
132,Servicio de Impuestos Nacionales,Renovación,Nessus On Premises,701,https://www.tenable.com/products/nessus/nessus-professional,INFORME EMITIDO,1,,,05/03/2018,ADSIB-UGS/IT/0034/2018,No se encontraron registros,
133,Servicio de Impuestos Nacionales,Renovación,CyberArk PRIVILEGED ACCOUNT SECURITY SOLUTION,9.9,https://www.cyberark.com/products/privileged-account- security-solution/,ELABORANDO INFORME,2,02/03/2018,SIN/PE/GG/GTIC/NOT/00094/2018,05/03/2018,ADSIB-UGS/IT/0034/2018,,
135,Banco Central de Bolivia,Otro,Sistema de Gestión y Análisis de Deuda SIGADE 6 con base de datos Oracle estándar,6,http://unctad.org/divs/gds/dmfas,INFORME EMITIDO,2,29/03/2018,BCB-GOI-SOEXT-DDEX-CE-2018-240,29/03/2018,ADSIB-UGS/IT/0058/2018,10-0951-00-198874-0-E,
136,Banco Central de Bolivia,Adquisición,Proofpoint referencial,8.8.4.,https://www.proofpoint.com/us/products/email-protection,INFORME EMITIDO,2,,,27/04/2018,ADSIB-UIS/IT/0055/2018,,
137,Banco Central de Bolivia,Renovación,McAfee Data Lost Prevention DLP,10,https://www.mcafee.com/es/products/total-protection-for-data-loss-prevention.aspx,INFORME EMITIDO,2,19/04/2018,BCB-GSIS-CE-2018-08,27/04/2018,ADSIB-UIS/IT/0055/2018,,
138,Banco Central de Bolivia,Adquisición,Sistema Operativo Microsoft Windows,10 Pro OEM,https://www.microsoft.com,ELABORANDO INFORME,2,05/04/2018,BCB-GSIS-SII-CE-2018-3,12/04/2018,ADSIB-UIS/IT/0043/2018,,
139,Fondo de Desarrollo del Sistema Financiero y Apoyo al Sector Productivo,Renovación,Firewall Sophos,XG210 (SFOS 16.01.2),https://www.sophos.com/en-us/products/next-gen-firewall.aspx,INFORME EMITIDO,4,10/04/2018,FSF-DAA-NE-1596/2018,11/04/2018,ADSIB-UGS/IT/0074/2018,No se encontró registro,
140,Registro Único para la Administración Tributaria Municipal,Renovación,Toad for Oracle DB admin Module,12.10.0.30,https://www.quest.com/products/toad-for-oracle/,INFORME EMITIDO,1,,,05/04/2018,ADSIB-UGS/IT/0064/2018,No se encontraron registros,
141,Registro Único para la Administración Tributaria Municipal,Adquisición,Adobe InDesign CC,versión 13.x,https://helpx.adobe.com/la/indesign/using/whats-new.html,INFORME EMITIDO,1,04/04/2018,RUAT N 1703/2018,05/04/2018,ADSIB-UGS/IT/0064/2018,No se encontraron registros,
142,Empresa de Luz y Fuerza Eléctrica Cochabamba,Renovación,WINDMIL,7.3,www.milsoft.com,INFORME EMITIDO,1,,,03/04/2018,ADSIB-UGS/IT/0063/2018,No se encontraron registros,
143,Empresa de Luz y Fuerza Eléctrica Cochabamba,Renovación,WindMil,8.0,www.milsoft.com,INFORME EMITIDO,1,02/04/2018,GG-TI 1058,03/04/2018,ADSIB-UGS/IT/0063/2018,No se encuentran registros,
147,Registro Único para la Administración Tributaria Municipal,Renovación,HPE DATA PROTECTOR,A.09.06,https://h10057.www1.hp.com/ecomcat/hpcatalog/specs/provisioner/99/B6953AAE.htm,INFORME EMITIDO,1,13/04/2018,RUAT N°2066/2018,19/04/2018,ADSIB-UIS/IT/0049/2018,,
148,Autoridad de Supervisión del Sistema Financiero,Renovación,DLP - McAfee Complete Data Protection - Advanced,10.0.400,https://www.mcafee.com/us/products/complete-data-protection-advanced.aspx,INFORME EMITIDO,1,27/03/2018,ASFI/JTIC/R-61244/2018,29/03/2018,ADSIB-UGS/IT/0059/2018,No se encontraron registros,
149,Ministerio de Salud,Adquisición,SIUCA-IP (eCALLER Emergencias),no indica,https://www.ingenia.es/es/producto/ecaller-emergencias,ELABORANDO INFORME,5,13/06/2018,MS/DGAA/UGESPRO/FRISDP/CE/276/2018,26/11/2018,ADSIB-UGS/IT/0127/2018,,
151,Ministerio de Justicia y Transparencia Interinstitucional,Adquisición,Antivirus Kaspesrky como opcion cotizada inicialmente se esperan otras,10 service pack 2,https://www.kaspersky.com/small-to-medium-business-security/endpoint-select,INFORME EMITIDO,1,04/05/2018,MJTI-DESP N°286/18,07/05/2018,ADSIB-UGS/IT/0103/2018,No se encuentran registros,
